source,origin_file,x_H2O,x_Ethanol,molality,miac,miac_m,M_solvent_mix,sum_nu,conversion_factor,mw_mode
MIAC_m,data/MIAC_m/water_ethanol/water-ethanol-NaBr.csv,0,1,0.0117,0.571815748573,0.5712,0.046068,2,1.0010779912,composition-columns
MIAC_m,data/MIAC_m/water_ethanol/water-ethanol-NaBr.csv,0,1,0.02013,0.500526606961,0.4996,0.046068,2,1.00185469768,composition-columns
MIAC_m,data/MIAC_m/water_ethanol/water-ethanol-NaBr.csv,0,1,0.02995,0.447331000995,0.4461,0.046068,2,1.0027594732,composition-columns
MIAC_m,data/MIAC_m/water_ethanol/water-ethanol-NaBr.csv,0,1,0.03782,0.417449586744,0.416,0.046068,2,1.00348458352,composition-columns
MIAC_m,data/MIAC_m/water_ethanol/water-ethanol-NaBr.csv,0,1,0.04955,0.384547611693,0.3828,0.046068,2,1.0045653388,composition-columns
MIAC_m,data/MIAC_m/water_ethanol/water-ethanol-NaBr.csv,0,1,0.05827,0.365652619729,0.3637,0.046068,2,1.00536876472,composition-columns
MIAC_m,data/MIAC_m/water_ethanol/water-ethanol-NaBr.csv,0,1,0.06589,0.34981083143,0.3477,0.046068,2,1.00607084104,composition-columns
MIAC_m,data/MIAC_m/water_ethanol/water-ethanol-NaBr.csv,0,1,0.07719,0.33859104695,0.3362,0.046068,2,1.00711197784,composition-columns
MIAC_m,data/MIAC_m/water_ethanol/water-ethanol-NaBr.csv,0,1,0.08981,0.326076049027,0.3234,0.046068,2,1.00827473416,composition-columns
MIAC_m,data/MIAC_m/water_ethanol/water-ethanol-NaBr.csv,0,1,0.09974,0.314059817412,0.3112,0.046068,2,1.00918964464,composition-columns
MIAC_m,data/MIAC_m/water_ethanol/water-ethanol-NaBr.csv,0,1,0.1105,0.304367543736,0.3013,0.046068,2,1.010181028,composition-columns
MIAC_m,data/MIAC_m/water_ethanol/water-ethanol-NaBr.csv,0,1,0.1204,0.295744753512,0.2925,0.046068,2,1.0110931744,composition-columns
MIAC_m,data/MIAC_m/water_ethanol/water-ethanol-NaBr.csv,0,1,0.1352,0.284601602882,0.2811,0.046068,2,1.0124567872,composition-columns
MIAC_m,data/MIAC_m/water_ethanol/water-ethanol-NaBr.csv,0,1,0.1493,0.275640230515,0.2719,0.046068,2,1.0137559048,composition-columns
MIAC_m,data/MIAC_m/water_ethanol/water-ethanol-NaBr.csv,0,1,0.1648,0.266688840163,0.2627,0.046068,2,1.0151840128,composition-columns
MIAC_m,data/MIAC_m/water_ethanol/water-ethanol-NaBr.csv,0,1,0.1765,0.261179335028,0.257,0.046068,2,1.016262004,composition-columns
UNIFIED,,0,1,0.005689,0.665748777198,0.6654,0.046068,2,1.0005241617,unified
UNIFIED,,0,1,0.00876,0.605588383084,0.6051,0.046068,2,1.00080711136,unified
UNIFIED,,0,1,0.0117,0.571815748573,0.5712,0.046068,2,1.0010779912,unified
UNIFIED,,0,1,0.02013,0.500526606961,0.4996,0.046068,2,1.00185469768,unified
UNIFIED,,0,1,0.02995,0.447331000995,0.4461,0.046068,2,1.0027594732,unified
UNIFIED,,0,1,0.03782,0.417449586744,0.416,0.046068,2,1.00348458352,unified
UNIFIED,,0,1,0.04955,0.384547611693,0.3828,0.046068,2,1.0045653388,unified
UNIFIED,,0,1,0.05827,0.365652619729,0.3637,0.046068,2,1.00536876472,unified
UNIFIED,,0,1,0.06589,0.34981083143,0.3477,0.046068,2,1.00607084104,unified
UNIFIED,,0,1,0.07719,0.33859104695,0.3362,0.046068,2,1.00711197784,unified
UNIFIED,,0,1,0.08981,0.326076049027,0.3234,0.046068,2,1.00827473416,unified
UNIFIED,,0,1,0.09974,0.314059817412,0.3112,0.046068,2,1.00918964464,unified
UNIFIED,,0,1,0.1105,0.304367543736,0.3013,0.046068,2,1.010181028,unified
UNIFIED,,0,1,0.1204,0.295744753512,0.2925,0.046068,2,1.0110931744,unified
UNIFIED,,0,1,0.1352,0.284601602882,0.2811,0.046068,2,1.0124567872,unified
UNIFIED,,0,1,0.1493,0.275640230515,0.2719,0.046068,2,1.0137559048,unified
UNIFIED,,0,1,0.1648,0.266688840163,0.2627,0.046068,2,1.0151840128,unified
UNIFIED,,0,1,0.1765,0.261179335028,0.257,0.046068,2,1.016262004,unified
