source,origin_file,x_H2O,x_Methanol,molality,miac,miac_m,M_solvent_mix,sum_nu,conversion_factor,mw_mode
MIAC_m,data/MIAC_m/water_methanol/water-methanol-NaBr.csv,1,0,4.6237,1.22375763079,1.049,0.01801528,2,1.16659450027,composition-columns
UNIFIED,,1,0,0.0392,0.843189239076,0.842,0.01801528,2,1.00141239795,unified
UNIFIED,,1,0,0.0602,0.813761260246,0.812,0.01801528,2,1.00216903971,unified
UNIFIED,,1,0,0.0988,0.780769539437,0.778,0.01801528,2,1.00355981933,unified
UNIFIED,,1,0,0.1469,0.758996131394,0.755,0.01801528,2,1.00529288926,unified
UNIFIED,,1,0,0.2089,0.736502079092,0.731,0.01801528,2,1.00752678398,unified
UNIFIED,,1,0,0.2468,0.729429163416,0.723,0.01801528,2,1.00889234221,unified
UNIFIED,,1,0,0.2865,0.723391092895,0.716,0.01801528,2,1.01032275544,unified
UNIFIED,,1,0,0.3471,0.730016975518,0.721,0.01801528,2,1.01250620738,unified
UNIFIED,,1,0,0.4094,0.723517399731,0.713,0.01801528,2,1.01475091126,unified
UNIFIED,,1,0,0.5011,0.717728714099,0.705,0.01801528,2,1.01805491362,unified
UNIFIED,,1,0,0.5891,0.710773019616,0.696,0.01801528,2,1.0212256029,unified
UNIFIED,,1,0,0.6543,0.708313758422,0.692,0.01801528,2,1.02357479541,unified
UNIFIED,,1,0,0.7387,0.707338268749,0.689,0.01801528,2,1.02661577467,unified
UNIFIED,,1,0,0.8449,0.706883363019,0.686,0.01801528,2,1.03044222014,unified
UNIFIED,,1,0,1.1425,0.718403791212,0.69,0.01801528,2,1.0411649148,unified
UNIFIED,,1,0,1.6044,0.757390120212,0.716,0.01801528,2,1.05780743046,unified
UNIFIED,,1,0,1.9175,0.794332828908,0.743,0.01801528,2,1.0690885988,unified
UNIFIED,,1,0,2.6891,0.885190051569,0.807,0.01801528,2,1.0968897789,unified
UNIFIED,,1,0,3.1877,0.955430406008,0.857,0.01801528,2,1.11485461611,unified
UNIFIED,,1,0,4.0707,1.11341618217,0.970999999998,0.01801528,2,1.14666960059,unified
UNIFIED,,1,0,4.6237,1.22375763079,1.049,0.01801528,2,1.16659450027,unified
