source,origin_file,molality,miac,miac_m,M_solvent_mix,sum_nu,conversion_factor,mw_mode
MIAC_m,data/MIAC_m/water/LiBr.csv,0.8,0.800425420544,0.778,0.01801528,2,1.028824448,pure
MIAC_m,data/MIAC_m/water/LiBr.csv,0.9,0.814585300656,0.789,0.01801528,2,1.032427504,pure
MIAC_m,data/MIAC_m/water/LiBr.csv,1,0.83193253968,0.803,0.01801528,2,1.03603056,pure
MIAC_m,data/MIAC_m/water/LiBr.csv,1.2,0.870059384448,0.834,0.01801528,2,1.043236672,pure
MIAC_m,data/MIAC_m/water/LiBr.csv,1.4,0.914935664864,0.871,0.01801528,2,1.050442784,pure
MIAC_m,data/MIAC_m/water/LiBr.csv,1.6,0.965633442048,0.913,0.01801528,2,1.057648896,pure
MIAC_m,data/MIAC_m/water/LiBr.csv,1.8,1.02226080768,0.96,0.01801528,2,1.064855008,pure
MIAC_m,data/MIAC_m/water/LiBr.csv,2,1.08492585344,1.012,0.01801528,2,1.07206112,pure
MIAC_m,data/MIAC_m/water/LiBr.csv,2.5,1.2710290824,1.166,0.01801528,2,1.0900764,pure
MIAC_m,data/MIAC_m/water/LiBr.csv,3,1.50589659312,1.359,0.01801528,2,1.10809168,pure
MIAC_m,data/MIAC_m/water/LiBr.csv,3.5,1.79951892208,1.598,0.01801528,2,1.12610696,pure
MIAC_m,data/MIAC_m/water/LiBr.csv,4,2.16353515584,1.891,0.01801528,2,1.14412224,pure
MIAC_m,data/MIAC_m/water/LiBr.csv,4.5,2.61713369504,2.252,0.01801528,2,1.16213752,pure
MIAC_m,data/MIAC_m/water/LiBr.csv,5,3.1816919488,2.696,0.01801528,2,1.1801528,pure
MIAC_m,data/MIAC_m/water/LiBr.csv,5.5,3.88446091536,3.242,0.01801528,2,1.19816808,pure
MIAC_m,data/MIAC_m/water/LiBr.csv,6,4.7613578544,3.915,0.01801528,2,1.21618336,pure
MIAC_m,data/MIAC_m/water/LiBr.csv,7,7.23529202976,5.778,0.01801528,2,1.25221392,pure
MIAC_m,data/MIAC_m/water/LiBr.csv,8,11.1446029965,8.651,0.01801528,2,1.28824448,pure
MIAC_m,data/MIAC_m/water/LiBr.csv,9,17.348003024,13.1,0.01801528,2,1.32427504,pure
MIAC_m,data/MIAC_m/water/LiBr.csv,10,27.219715056,20.01,0.01801528,2,1.3603056,pure
MIAC_m,data/MIAC_m/water/LiBr.csv,11,42.7697765808,30.63,0.01801528,2,1.39633616,pure
MIAC_m,data/MIAC_m/water/LiBr.csv,12,66.8342311552,46.66,0.01801528,2,1.43236672,pure
MIAC_m,data/MIAC_m/water/LiBr.csv,13,103.022753165,70.16,0.01801528,2,1.46839728,pure
MIAC_m,data/MIAC_m/water/LiBr.csv,14,155.106510304,103.1,0.01801528,2,1.50442784,pure
MIAC_m,data/MIAC_m/water/LiBr.csv,15,226.4473848,147,0.01801528,2,1.5404584,pure
